Time Stamp,Round2-Sol-C765_x,Round2-Sol-C765_y,Round2-Sol-C765_z
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234009,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234010,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234011,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234012,-0.404,-10.10241,-1.064
20240313_234013,-0.404,-10.10241,-1.064
20240313_234013,-0.404,-10.10241,-1.064
20240313_234013,-0.404,-10.10241,-1.064
20240313_234013,-0.404,-10.10241,-1.064
